,AMT_ANNUITY,AMT_CREDIT,AMT_GOODS_PRICE,AMT_INCOME_TOTAL,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_YEAR,ANNUITY_INCOME_PERC,APPROVED_AMT_ANNUITY_MAX,APPROVED_AMT_ANNUITY_MEAN,APPROVED_AMT_ANNUITY_MIN,APPROVED_AMT_APPLICATION_MAX,APPROVED_AMT_APPLICATION_MEAN,APPROVED_AMT_APPLICATION_MIN,APPROVED_AMT_CREDIT_MAX,APPROVED_AMT_CREDIT_MEAN,APPROVED_AMT_CREDIT_MIN,APPROVED_AMT_DOWN_PAYMENT_MAX,APPROVED_AMT_DOWN_PAYMENT_MEAN,APPROVED_AMT_DOWN_PAYMENT_MIN,APPROVED_AMT_GOODS_PRICE_MAX,APPROVED_AMT_GOODS_PRICE_MEAN,APPROVED_AMT_GOODS_PRICE_MIN,APPROVED_APP_CREDIT_PERC_MAX,APPROVED_APP_CREDIT_PERC_MEAN,APPROVED_APP_CREDIT_PERC_MIN,APPROVED_CNT_PAYMENT_MEAN,APPROVED_CNT_PAYMENT_SUM,APPROVED_DAYS_DECISION_MAX,APPROVED_DAYS_DECISION_MEAN,APPROVED_DAYS_DECISION_MIN,APPROVED_HOUR_APPR_PROCESS_START_MAX,APPROVED_HOUR_APPR_PROCESS_START_MEAN,APPROVED_HOUR_APPR_PROCESS_START_MIN,APPROVED_RATE_DOWN_PAYMENT_MAX,APPROVED_RATE_DOWN_PAYMENT_MEAN,APPROVED_RATE_DOWN_PAYMENT_MIN,BURO_AMT_CREDIT_SUM_DEBT_MAX,BURO_AMT_CREDIT_SUM_DEBT_MEAN,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_AMT_CREDIT_SUM_LIMIT_SUM,BURO_AMT_CREDIT_SUM_MAX,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_SUM,BURO_CNT_CREDIT_PROLONG_SUM,BURO_CREDIT_DAY_OVERDUE_MAX,BURO_CREDIT_DAY_OVERDUE_MEAN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_MONTHS_BALANCE_SIZE_SUM,CNT_CHILDREN,CNT_FAM_MEMBERS,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_EMPLOYED_PERC,DAYS_ID_PUBLISH,DAYS_LAST_PHONE_CHANGE,DAYS_REGISTRATION,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,EMERGENCYSTATE_MODE,EXT_SOURCE_2,EXT_SOURCE_3,FLAG_CONT_MOBILE,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_2,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_EMAIL,FLAG_EMP_PHONE,FLAG_MOBIL,FLAG_OWN_CAR,FLAG_OWN_REALTY,FLAG_PHONE,FLAG_WORK_PHONE,FONDKAPREMONT_MODE,HOUR_APPR_PROCESS_START,HOUSETYPE_MODE,INCOME_CREDIT_PERC,INCOME_PER_PERSON,INSTAL_AMT_INSTALMENT_MAX,INSTAL_AMT_INSTALMENT_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_AMT_PAYMENT_MAX,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_MIN,INSTAL_AMT_PAYMENT_SUM,INSTAL_COUNT,INSTAL_DAYS_ENTRY_PAYMENT_MAX,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_DBD_MAX,INSTAL_DBD_MEAN,INSTAL_DBD_SUM,INSTAL_DPD_MAX,INSTAL_DPD_MEAN,INSTAL_DPD_SUM,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_PAYMENT_DIFF_VAR,INSTAL_PAYMENT_PERC_MAX,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_PERC_SUM,INSTAL_PAYMENT_PERC_VAR,LIVE_CITY_NOT_WORK_CITY,LIVE_REGION_NOT_WORK_REGION,NAME_CONTRACT_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,NAME_TYPE_SUITE,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,OCCUPATION_TYPE,ORGANIZATION_TYPE,PAYMENT_RATE,POS_COUNT,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,POS_SK_DPD_DEF_MAX,POS_SK_DPD_DEF_MEAN,POS_SK_DPD_MAX,POS_SK_DPD_MEAN,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_AMT_ANNUITY_MIN,PREV_AMT_APPLICATION_MAX,PREV_AMT_APPLICATION_MEAN,PREV_AMT_APPLICATION_MIN,PREV_AMT_CREDIT_MAX,PREV_AMT_CREDIT_MEAN,PREV_AMT_CREDIT_MIN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_DOWN_PAYMENT_MEAN,PREV_AMT_DOWN_PAYMENT_MIN,PREV_AMT_GOODS_PRICE_MAX,PREV_AMT_GOODS_PRICE_MEAN,PREV_AMT_GOODS_PRICE_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MEAN,PREV_APP_CREDIT_PERC_MIN,PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_SUM,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_DAYS_DECISION_MIN,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_HOUR_APPR_PROCESS_START_MEAN,PREV_HOUR_APPR_PROCESS_START_MIN,PREV_RATE_DOWN_PAYMENT_MAX,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_RATE_DOWN_PAYMENT_MIN,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,SK_ID_CURR,WALLSMATERIAL_MODE,WEEKDAY_APPR_PROCESS_START,index
49449,28773.0,614475.0,432000.0,112500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25576,3001.725,3001.725,3001.725,26428.275,26428.275,26428.275,26428.275,26428.275,26428.275,0.0,0.0,0.0,26428.275,26428.275,26428.275,1.0,1.0,1.0,10.0,10.0,-185.0,-185.0,-185.0,7.0,7.0,7.0,0.0,0.0,0.0,989283.15,989283.15,989283.15,0.0,1125000.0,1125000.0,51875.775,1125000.0,0.0,138.0,138.0,1385.0,1385.0,1385.0,-442.0,-442.0,-442.0,-15.0,0.0,0,1.0,0,-19811,-1648.0,0.118732940669444,-3367,-185.0,-633.0,0.0,0.0,0,0.1020854854095529,0.0005272652387098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0.1830831197363603,112500.0,3001.725,3001.725,15008.625,3001.725,3001.725,3001.725,15008.625,5.0,-27.0,-92.6,-463.0,25.0,21.6,108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0,0,0,4,3,1,3,7,0.0,0.0,12,57,0.0468253387037715,6.0,-1.0,-3.5,6.0,0.0,0.0,0.0,0.0,3001.725,3001.725,3001.725,26428.275,26428.275,26428.275,26428.275,26428.275,26428.275,0.0,0.0,0.0,26428.275,26428.275,26428.275,1.0,1.0,1.0,10.0,10.0,-185.0,-185.0,-185.0,7.0,7.0,7.0,0.0,0.0,0.0,0.018029,3,3,0,0,0,0,157248,3,5,49450
86304,31023.0,592560.0,450000.0,157500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1969714285714285,7128.18,5866.02,4603.86,27810.0,22882.5,17955.0,25020.0,20589.75,16159.5,2790.0,2292.75,1795.5,27810.0,22882.5,17955.0,1.1115107913669064,1.111310951239009,1.1111111111111112,4.0,8.0,-2793.0,-2795.0,-2797.0,12.0,8.5,5.0,0.1092615475139746,0.1090853192115327,0.1089090909090909,713835.0,188075.58,1692680.22,45012.78,2370375.0,453500.5853571429,33575.15571428571,6349008.195,0.0,473.0,95.57142857142856,1655.0,-210.92857142857144,-1576.0,-162.0,-1331.7142857142858,-2853.0,-379.4285714285714,0.0,2,4.0,1,-11276,-3217.0,0.2852962043277758,-3706,-2328.0,-5537.0,0.0,0.0,1,0.0101758340672419,0.0005272652387098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,3,15,1,0.2657958687727825,39375.0,9107.28,6743.992499999999,53951.94,9107.28,5853.217500000001,2522.34,46825.740000000005,8.0,-2630.0,-2682.5,-21460.0,27.0,3.375,27.0,6.0,0.875,7.0,2.0,4603.86,890.775,7126.2,3029983.5957428566,1.0,0.8750000000000001,7.000000000000001,0.0596656345208797,0,0,0,4,1,5,4,7,0.0,0.0,4,34,0.0523541919805589,14.0,-84.0,-87.07142857142857,14.0,0.0,0.0,0.0,0.0,18444.735,9439.00875,4603.86,184500.0,95816.25,17955.0,184500.0,97194.375,16159.5,2790.0,1528.5,0.0,184500.0,95816.25,17955.0,1.1115107913669064,1.040177051604495,0.9380863039399624,20.0,80.0,-997.0,-2228.75,-2797.0,12.0,8.0,4.0,0.1092615475139746,0.0727235461410218,0.0,0.018029,3,3,0,0,0,0,200162,2,0,86307
102325,14823.0,255960.0,202500.0,162000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0915,19957.005,12367.40625,7160.94,225000.0,140080.5,90000.0,247275.0,147624.75,98401.5,10935.0,5467.5,0.0,225000.0,140080.5,90000.0,1.1111263547811772,0.9619922823285838,0.8269246671628214,16.5,66.0,-780.0,-1104.5,-1483.0,19.0,14.0,11.0,0.1089225381360212,0.0544612690680106,0.0,272169.0,59630.625,477045.0,39790.665,5985000.0,985811.7011538462,0.0,12815552.115,0.0,0.0,0.0,4670.0,58.833333333333336,-2114.0,-21.0,-1066.8461538461538,-2542.0,-578.3076923076923,0.0,0,2.0,0,-16938,-356.0,0.0210178297319636,-351,0.0,-4994.0,0.0,0.0,0,0.6267480825325951,0.4902575124990026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,9,0,0.6329113924050633,81000.0,191668.14,22109.77928571428,773842.2749999997,191668.14,20328.624,64.35,711501.84,35.0,-712.0,-1062.1714285714286,-37176.0,32.0,7.542857142857143,264.0,8.0,0.5428571428571428,19.0,2.0,11787.885,1781.1552857142856,62340.435,11881253.568120506,1.0,0.8285714285714286,29.0,0.1096237486584334,0,0,0,4,1,1,7,7,1.0,1.0,0,30,0.0579113924050632,33.0,-22.0,-34.666666666666664,33.0,2.0,0.0606060606060606,2.0,0.0606060606060606,19957.005,12367.40625,7160.94,225000.0,140080.5,90000.0,247275.0,147624.75,98401.5,10935.0,5467.5,0.0,225000.0,140080.5,90000.0,1.1111263547811772,0.9619922823285838,0.8269246671628214,16.5,66.0,-780.0,-1104.5,-1483.0,19.0,14.0,11.0,0.1089225381360212,0.0544612690680106,0.0,0.010966,2,2,0,0,0,0,218795,3,4,102330
117760,13387.5,284400.0,225000.0,90000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14875,20679.435,10228.965,5003.73,270000.0,113370.0,35055.0,378850.5,147316.5,31549.5,3505.5,2337.0,0.0,270000.0,113370.0,35055.0,1.1111111111111112,0.9783014672014424,0.7126821793821045,17.333333333333332,52.0,-1324.0,-2050.6666666666665,-2414.0,15.0,13.333333333333334,11.0,0.1089090909090909,0.0726060606060606,0.0,1229418.0,158898.34125,1906780.095,14550.795,1350000.0,292015.85294117645,8834.918823529411,4964269.5,0.0,82.0,8.176470588235293,27521.0,1837.428571428572,-2410.0,-111.0,-1016.7647058823528,-2717.0,-585.7058823529412,0.0,0,2.0,0,-11336,-634.0,0.0559280169371912,-553,-973.0,-630.0,0.0,0.0,0,0.0473426834083535,0.0339098057920182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,19,0,0.3164556962025316,45000.0,222852.105,19755.321000000007,888989.4450000003,222852.105,16102.177,354.15,724597.9650000001,45.0,-644.0,-1162.7777777777778,-52325.0,34.0,10.2,459.0,193.0,13.311111111111112,599.0,9.0,20194.785,3653.144,164391.48,35901105.63973364,1.0,0.8222222222222222,37.0,0.0850215830252518,0,0,0,4,0,2,7,7,0.0,0.0,0,28,0.0470727848101265,33.0,-20.0,-43.36363636363637,33.0,0.0,0.0,0.0,0.0,22564.935,13064.922,5003.73,450000.0,154185.0,0.0,628200.0,203828.25,0.0,3505.5,1752.75,0.0,450000.0,185022.0,35055.0,1.1111111111111112,0.9069258011952464,0.7126821793821045,24.8,124.0,-156.0,-1373.6666666666667,-2414.0,15.0,12.5,11.0,0.1089090909090909,0.0544545454545454,0.0,0.004849,2,2,0,0,0,0,236551,3,1,117765
140055,25407.0,545040.0,450000.0,112500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22584,4251.78,3294.95625,2429.37,30960.0,26032.5,18405.0,30154.5,23171.625,16560.0,7740.0,4297.5,1845.0,30960.0,26032.5,18405.0,1.2506816942374115,1.1276895970520795,1.0267124309804507,10.0,40.0,-1362.0,-1635.25,-2188.0,15.0,13.25,12.0,0.2594150898263899,0.1652078941214924,0.1016740261497398,679045.5,108398.0475,867184.38,0.0,495000.0,221625.0,88708.6575,1773000.0,0.0,174.0,64.25,31178.0,4360.714285714285,-1014.0,-243.0,-731.0,-1379.0,-316.625,0.0,0,2.0,1,-10237,-3368.0,0.3290026374914526,-2894,-1629.0,-2876.0,0.0,0.0,0,0.1016014238857277,0.0005272652387098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,13,0,0.2064068692206076,56250.0,3600.0,2485.7720689655184,72087.39000000003,3600.0,1979.000689655173,60.66,57391.02000000002,29.0,-1296.0,-1729.6206896551723,-50159.0,58.0,14.310344827586206,415.0,46.0,4.965517241379311,144.0,2.0,2400.57,506.7713793103448,14696.37,935767.2618908868,1.0,0.7931034482758621,23.0,0.1559305450266657,0,0,0,1,1,1,7,7,0.0,0.0,8,7,0.046614927344782,24.0,-42.0,-57.0,24.0,11.0,0.75,41.0,3.208333333333333,4251.78,2751.046363636363,1626.12,30960.0,25312.125,18405.0,30960.0,23087.25,16560.0,7740.0,2703.75,0.0,30960.0,25312.125,18405.0,1.2506816942374115,1.1015700752252306,1.0,12.545454545454543,138.0,-1362.0,-1936.6666666666667,-2196.0,18.0,16.0,12.0,0.2594150898263899,0.1124591764166808,0.0,0.028663,2,2,1,1,0,0,262411,3,4,140062
191910,27513.0,348264.0,315000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057,5578.335,3914.1675,2250.0,45000.0,35293.5,25587.0,45000.0,36812.25,28624.5,0.0,0.0,0.0,45000.0,35293.5,25587.0,1.0,0.9469423046690773,0.8938846093381544,3.0,6.0,-202.0,-202.0,-202.0,18.0,18.0,18.0,0.0,0.0,0.0,27450.0,22725.0,45450.0,0.0,90000.0,56250.0,0.0,112500.0,0.0,0.0,0.0,31095.0,29269.0,27443.0,-142.0,-269.5,-397.0,-26.5,0.0,0,2.0,0,-14041,-165.0,0.011751299764974,-447,-202.0,-2591.0,1.0,1.0,1,0.0001309399235203,0.0549573940912152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,1,0.2584246433739921,45000.0,5578.335,2636.9298,65923.245,5578.335,2190.663,7.695,54766.575,25.0,-9.0,-103.2,-2580.0,51.0,7.08,177.0,9.0,0.64,16.0,2.0,5531.67,446.2668,11156.67,2321528.7304372503,1.0,0.92,23.0,0.074604475122715,0,0,0,4,1,1,7,7,1.0,1.0,12,5,0.0790004134794294,7.0,-1.0,-4.0,7.0,7.0,1.0,7.0,1.0,6975.315,5039.549999999999,2250.0,60705.0,38399.4,0.0,71523.0,42613.2,0.0,0.0,0.0,0.0,60705.0,47999.25,25587.0,1.0,0.9091060971414396,0.8487479552032213,9.0,36.0,-153.0,-180.4,-202.0,18.0,14.0,10.0,0.0,0.0,0.0,0.022625,2,2,0,0,0,0,322543,0,6,191920
236028,15138.0,284400.0,225000.0,135000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1121333333333333,21304.08,15245.415,11765.88,128160.0,105403.5,61600.5,111843.0,93789.0,61600.5,25650.0,16980.0,0.0,128160.0,105403.5,61600.5,1.1875078180377767,1.106036845973967,1.0,8.0,24.0,-210.0,-696.6666666666666,-942.0,19.0,17.333333333333332,16.0,0.2091371553353158,0.1366622539517765,0.0,145926.0,72963.0,145926.0,0.0,135000.0,111913.2,0.0,223826.4,0.0,0.0,0.0,596.0,38.5,-519.0,-519.0,-579.5,-640.0,-266.0,0.0,1,3.0,1,-10013,-506.0,0.0505343054029761,-2515,-2.0,-10013.0,0.0,0.0,1,0.6225438551354279,0.3774042489507649,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,16,1,0.4746835443037974,45000.0,12794.535,12090.798947368425,229725.18000000005,12794.535,11424.152368421055,3112.425,217058.89500000005,19.0,-32.0,-517.2631578947369,-9828.0,44.0,21.36842105263158,406.0,4.0,0.2631578947368421,5.0,2.0,9553.86,666.6465789473684,12666.285,5139971.9287223695,1.0,0.9473684210526316,18.0,0.0320377667887568,1,0,0,4,1,5,7,7,0.0,0.0,15,33,0.0532278481012658,21.0,-1.0,-17.666666666666668,21.0,0.0,0.0,0.0,0.0,21304.08,10497.249,2250.0,128160.0,69586.48125,0.0,111843.0,65231.04375,0.0,25650.0,12735.0,0.0,128160.0,92781.975,45000.0,1.1875078180377767,1.0530184229869832,1.0,4.8,24.0,-196.0,-439.375,-942.0,19.0,15.125,13.0,0.2091371553353158,0.1024966904638324,0.0,0.04622,1,1,0,1,0,0,373400,5,6,236040
275031,14166.0,258768.0,216000.0,162000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0874444444444444,24835.365,14149.605,6750.0,405000.0,201867.0,65601.0,442422.0,214275.0,65403.0,4500.0,4500.0,4500.0,405000.0,201867.0,65601.0,1.003027384064951,0.9728143275822508,0.9154155986818016,10.666666666666666,32.0,-266.0,-449.3333333333333,-816.0,11.0,10.333333333333334,10.0,0.0701101396350527,0.0701101396350527,0.0701101396350527,0.0,0.0,0.0,0.0,1350000.0,1350000.0,0.0,1350000.0,0.0,0.0,0.0,-553.0,-553.0,-553.0,-2379.0,-2379.0,-2379.0,-99.0,0.0,0,2.0,1,-18765,-2568.0,0.1368505195843325,-2317,-816.0,-2822.0,0.0,0.0,1,0.3572819736123357,0.363945238612397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,11,1,0.6260434056761269,81000.0,24835.365,11247.752812500004,359928.0900000001,24835.365,11025.019687500002,7.965,352800.63000000006,32.0,-14.0,-265.84375,-8507.0,19.0,8.4375,270.0,31.0,1.0,32.0,2.0,6975.0,222.733125,7127.46,1518914.4391125,1.0,0.96875,31.0,0.0298994867425547,0,0,0,1,1,1,1,7,0.0,0.0,8,33,0.0547440178074568,18.0,-1.0,-14.0,18.0,0.0,0.0,0.0,0.0,24835.365,14149.605,6750.0,405000.0,121120.2,0.0,442422.0,128565.0,0.0,4500.0,4500.0,4500.0,405000.0,201867.0,65601.0,1.003027384064951,0.9728143275822508,0.9154155986818016,10.666666666666666,32.0,-266.0,-376.0,-816.0,11.0,10.2,10.0,0.0701101396350527,0.0701101396350527,0.0701101396350527,0.04622,1,1,1,1,0,0,418779,6,6,275046
276379,21883.5,360000.0,360000.0,144000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15196875,16088.04,7171.410000000001,2133.9,81630.0,39699.0,17995.5,87930.0,42162.0,17797.5,1800.0,600.0,0.0,81630.0,39699.0,17995.5,1.0111251580278129,0.959159518986602,0.9283520982599796,8.666666666666666,26.0,-127.0,-1388.3333333333333,-2407.0,16.0,14.333333333333334,13.0,0.1000313119716104,0.0333437706572034,0.0,0.0,0.0,0.0,0.0,85653.0,54693.2025,0.0,218772.81,0.0,0.0,0.0,-337.0,-1236.5,-2283.0,-517.0,-1480.5,-2649.0,-720.0,165.0,0,1.0,0,-13075,-1313.0,0.1004206500956022,-4942,-2407.0,-1064.0,0.0,0.0,1,0.4343699817406553,0.5549467685334323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,8,1,0.4,144000.0,20250.0,5775.850714285712,121292.86499999996,20250.0,7067.387142857142,2133.9,148415.12999999998,21.0,-6.0,-1325.047619047619,-27826.0,37.0,4.571428571428571,96.0,4.0,0.238095238095238,5.0,7.0,0.0,-1291.5364285714286,-27122.265,13791846.063815355,14.81437799745522,2.0827919557970573,43.738631071738205,12.128829092699636,0,0,0,4,3,1,4,7,0.0,0.0,3,11,0.0607875,19.0,-2.0,-51.31578947368421,19.0,3.0,0.1578947368421052,3.0,0.1578947368421052,16088.04,7171.410000000001,2133.9,81630.0,39699.0,17995.5,87930.0,42162.0,17797.5,1800.0,600.0,0.0,81630.0,39699.0,17995.5,1.0111251580278129,0.959159518986602,0.9283520982599796,8.666666666666666,26.0,-127.0,-1388.3333333333333,-2407.0,16.0,14.333333333333334,13.0,0.1000313119716104,0.0333437706572034,0.0,0.020246,3,3,0,0,0,0,420276,5,5,276394
283048,9981.0,373500.0,225000.0,31500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168571428571428,4676.94,4676.94,4676.94,32386.5,32386.5,32386.5,35059.5,35059.5,35059.5,0.0,0.0,0.0,32386.5,32386.5,32386.5,0.9237581825182904,0.9237581825182904,0.9237581825182904,10.0,10.0,-2756.0,-2756.0,-2756.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118368.0,71052.0,0.0,213156.0,0.0,0.0,0.0,-49.0,-1301.6666666666667,-2187.0,-597.0,-1688.0,-2492.0,-1278.6666666666667,122.0,0,1.0,0,-23440,-6303.0,0.2688993174061433,-4557,-3103.0,-5326.0,0.0,0.0,0,0.3571464048864837,0.5567274263630174,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0.0843373493975903,31500.0,4676.94,3945.0123529411767,67065.21,4676.94,3395.234117647059,21.645,57718.98,17.0,-2453.0,-2664.5882352941176,-45298.0,31.0,6.0,102.0,2.0,0.2352941176470588,4.0,1.0,4655.294999999999,549.7782352941175,9346.229999999998,2383434.922440441,1.0,0.8823529411764707,15.000000000000002,0.1091415267797577,0,0,0,4,3,1,7,7,0.0,0.0,12,39,0.026722891566265,19.0,-81.0,-88.73684210526316,19.0,0.0,0.0,0.0,0.0,20187.18,14917.049999999996,4676.94,661500.0,209397.75,0.0,661500.0,224693.25,0.0,0.0,0.0,0.0,661500.0,418795.5,32386.5,1.0,0.9290059503421926,0.8632596685082873,35.333333333333336,106.0,-13.0,-474.1666666666667,-2756.0,15.0,11.166666666666666,8.0,0.0,0.0,0.0,0.035792,2,2,0,0,0,0,427856,3,5,283064
